LAT,LON,mag
-77.5,332.5,0.905
-72.5,12.5,0.4571
-72.5,167.5,0.3628
-72.5,172.5,-0.135
-72.5,177.5,-0.095
-72.5,182.5,-0.1754
-72.5,187.5,-0.254
-72.5,192.5,-0.317
-72.5,197.5,-0.3536
-72.5,202.5,-0.3596
-72.5,212.5,-0.3655
-72.5,217.5,-0.3552
-72.5,222.5,-0.3278
-72.5,227.5,-0.378
-72.5,232.5,-0.402
-72.5,237.5,-0.3564
-72.5,242.5,-0.3969
-72.5,247.5,-0.3819
-72.5,252.5,-0.3793
-72.5,257.5,-0.366
-72.5,277.5,-0.2452
-72.5,282.5,-0.2504
-72.5,327.5,-0.2971
-72.5,332.5,-0.2951
-72.5,337.5,-0.2639
-72.5,342.5,-0.1746
-72.5,347.5,-0.1916
-67.5,7.5,-0.3279
-67.5,37.5,-0.1931
-67.5,62.5,-0.0249
-67.5,67.5,-0.1524
-67.5,72.5,-0.0745
-67.5,77.5,0.0178
-67.5,82.5,-0.1017
-67.5,92.5,0.4846
-67.5,112.5,0.6887
-67.5,142.5,0.4556
-67.5,147.5,-0.0209
-67.5,162.5,-0.1464
-67.5,167.5,-0.1305
-67.5,172.5,-0.0892
-67.5,177.5,-0.0569
-67.5,182.5,-0.1192
-67.5,187.5,-0.2169
-67.5,192.5,-0.2977
-67.5,197.5,-0.3697
-67.5,202.5,-0.4675
-67.5,207.5,-0.5524
-67.5,212.5,-0.5289
-67.5,217.5,-0.4874
-67.5,222.5,-0.5006
-67.5,227.5,-0.4687
-67.5,232.5,-0.4783
-67.5,237.5,-0.451
-67.5,242.5,-0.3632
-67.5,247.5,-0.3299
-67.5,252.5,-0.3221
-67.5,257.5,-0.3539
-67.5,262.5,-0.3567
-67.5,267.5,-0.3904
-67.5,272.5,-0.3753
-67.5,277.5,-0.3058
-67.5,282.5,-0.3152
-67.5,287.5,-0.3959
-67.5,292.5,-0.4799
-67.5,317.5,-0.437
-67.5,322.5,-0.4234
-67.5,327.5,-0.3378
-67.5,332.5,-0.2408
-67.5,337.5,-0.1351
-67.5,342.5,-0.0918
-67.5,347.5,-0.0893
-67.5,352.5,-0.1552
-67.5,357.5,-0.2531
-62.5,2.5,-0.1559
-62.5,7.5,-0.1406
-62.5,12.5,-0.1298
-62.5,17.5,-0.0763
-62.5,22.5,6.00E-04
-62.5,47.5,0.0719
-62.5,52.5,0.0744
-62.5,57.5,0.0985
-62.5,62.5,0.1107
-62.5,67.5,0.1399
-62.5,72.5,0.2225
-62.5,77.5,0.2975
-62.5,82.5,0.3755
