query	lat	lon	lat_min	lat_max	lon_min	lon_max
Boston	42.3602534	-71.0582912	42.2279112	42.3969775	-71.1912491	-70.8044881
Southeast Alaska	62.9217072	17.7736243	62.9117072	62.9317072	17.7636243	17.7836243
New Castle County	39.6159851	-75.662956	39.2902319	39.8394337	-75.7890403	-75.4052809
Maricopa County	33.34883	-112.49123	32.5049739	34.0481432	-113.333755	-111.0399049
Snohomish County	48.0074736	-121.7304882	47.7762172	48.2992336	-122.442568	-120.906211
Umatilla County	45.6416995	-118.7671122	44.995887	46.001065	-119.435493	-117.972922
Gomez Palacios	20.0807903	-98.3606472	20.0805853	20.0813838	-98.3607839	-98.3603265
Chicago	41.8755616	-87.6244212	41.644531	42.0230396	-87.940101	-87.5240812
Chicago	41.8755616	-87.6244212	41.644531	42.0230396	-87.940101	-87.5240812
Allegheny County	40.4597204	-79.9760405	40.194343	40.674935	-80.360873	-79.688761
Berkeley County	39.4535243	-78.0395522	39.264403	39.6212724	-78.229912	-77.823422
Greater Houston Area	29.939219	-95.3963667	29.939219	29.9395771	-95.3979167	-95.3963667
La Chorrera	8.98018465	-79.8740897150963	8.7742708	9.1860007	-79.9910366	-79.7040296
Pueblo Nuevo	20.54810825	-101.365622832485	20.5017191	20.594404	-101.4186563	-101.3001251
Corredor	-3.7357783	-40.873577	-3.7557783	-3.7157783	-40.893577	-40.853577
Canoas CR	35.9776891	-120.2422615	35.9753328	35.9795345	-120.2432268	-120.2412084
Santo Domingo CR	40.1601526	-76.298009	40.1579653	40.1619257	-76.3005813	-76.2959437
Aligandí	9.22237675	-78.0233249816648	9.2209357	9.2237766	-78.025728	-78.021909
St. Louis MO	38.6529545	-90.2411165602464	38.5323215	38.7743396	-90.3206525	-90.1641941
Toronto	43.6534817	-79.3839347	43.5802533	43.8554425	-79.6392727	-79.1132193
Toronto	43.6534817	-79.3839347	43.5802533	43.8554425	-79.6392727	-79.1132193
Toronto	43.6534817	-79.3839347	43.5802533	43.8554425	-79.6392727	-79.1132193
Toronto	43.6534817	-79.3839347	43.5802533	43.8554425	-79.6392727	-79.1132193
Toronto	43.6534817	-79.3839347	43.5802533	43.8554425	-79.6392727	-79.1132193
Toronto	43.6534817	-79.3839347	43.5802533	43.8554425	-79.6392727	-79.1132193
Toronto	43.6534817	-79.3839347	43.5802533	43.8554425	-79.6392727	-79.1132193
Allegheny County	40.4597204	-79.9760405	40.194343	40.674935	-80.360873	-79.688761
Toronto	43.6534817	-79.3839347	43.5802533	43.8554425	-79.6392727	-79.1132193
