time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-25T12:57:39.430Z,31.6612,-104.4293,5,2.6,ml,,64,0.061,0.47,us,us7000ddjd,2021-02-25T13:24:57.040Z,"57 km S of Whites City, New Mexico",earthquake,1.1,1.8,0.062,34,reviewed,us,us
2021-02-25T08:41:09.400Z,38.1805,-117.7952,11.2,2.7,ml,31,66.73,0.063,0.1,nn,nn00801186,2021-02-25T10:27:07.961Z,"35 km SE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2021-02-25T08:36:39.748Z,36.6016,71.5883,172.29,4.2,mb,,202,2.921,0.33,us,us7000ddis,2021-02-25T09:19:26.040Z,"10 km SSE of Ashkāsham, Afghanistan",earthquake,10.6,9.6,0.072,53,reviewed,us,us
2021-02-25T08:11:51.680Z,36.7056656,-121.3470001,4.83,2.8,ml,43,62,0.07067,0.13,nc,nc73527601,2021-02-25T11:40:31.535Z,"10km SSW of Tres Pinos, CA",earthquake,0.21,1.01,0.167,10,automatic,nc,nc
2021-02-25T07:50:20.179Z,22.9229,96.12,10,4.5,mb,,97,2.116,0.44,us,us7000ddij,2021-02-25T08:08:11.040Z,"39 km W of Mogok, Myanmar",earthquake,7.6,1.9,0.115,22,reviewed,us,us
2021-02-25T06:28:54.260Z,18.4883,-68.953,114,3.89,md,24,119,0.5722,0.19,pr,pr2021056005,2021-02-25T08:11:29.131Z,"7 km NNE of La Romana, Dominican Republic",earthquake,1.15,1.36,0.16,11,reviewed,pr,pr
2021-02-25T05:46:51.143Z,-3.5469,35.9068,10,4.1,mb,,70,2.438,0.44,us,us7000ddi4,2021-02-25T11:45:29.800Z,"22 km SSE of Mto wa Mbu, Tanzania",earthquake,6.5,1.9,0.166,10,reviewed,us,us
2021-02-25T04:48:22.760Z,18.5248,-68.299,118,3.59,md,16,315,0.0831,0.17,pr,pr2021056002,2021-02-25T08:10:16.940Z,"12 km ESE of Punta Cana, Dominican Republic",earthquake,3.67,1.56,0.13,10,reviewed,pr,pr
2021-02-25T03:31:05.270Z,17.8165,-66.537,4,2.66,md,10,225,0.2366,0.34,pr,pr2021056001,2021-02-25T04:42:18.480Z,"19 km SSW of Potala Pastillo, Puerto Rico",earthquake,0.91,0.91,0.11,4,reviewed,pr,pr
2021-02-25T03:05:43.030Z,38.1917,-117.8747,9.1,2.6,ml,29,37.4,0.044,0.11,nn,nn00801176,2021-02-25T08:24:26.517Z,"30 km SE of Mina, Nevada",earthquake,,0.6,,,automatic,nn,nn
2021-02-25T02:51:29.838Z,-33.8589,-72.1422,22.57,3.9,mwr,,186,0.741,0.49,us,us7000ddh2,2021-02-25T03:20:26.040Z,"57 km WSW of San Antonio, Chile",earthquake,5.5,4.2,0.046,45,reviewed,us,us
2021-02-25T02:34:26.967Z,22.8218,95.9347,10,4.9,mb,,35,2.052,0.85,us,us7000ddgz,2021-02-25T08:14:44.893Z,"37 km NE of Shwebo, Myanmar",earthquake,6.8,1.9,0.079,50,reviewed,us,us
2021-02-25T01:28:46.830Z,36.1566667,-118.0656667,2,2.85,ml,40,46,0.1001,0.18,ci,ci39801096,2021-02-25T02:23:04.900Z,"15km SSW of Olancha, CA",earthquake,0.2,0.61,0.176,155,reviewed,ci,ci
2021-02-24T23:57:25.460Z,35.66783333,-97.39366667,7.06,2.75,ml,101,39,0,0.17,ok,ok2021dwmp,2021-02-25T04:26:21.725Z,"6 km W of Arcadia, Oklahoma",earthquake,,0.3,0.23,36,reviewed,ok,ok
